Univ_ZhT_Strd,Univ_Eng,Status_ZhT,Status_Eng
江南實業學堂,,,
江南格致書院,,,
江南毓秀女校,,,
江南水師學堂,,,
江南法律專門學校,,,
江南法政學堂,,,
江南法政學校,,,
江南講武堂野戰炮兵科,,,
江南警察教練所,,,
江南巡警學堂,,,
江南開通法政學校,,,
江南陸師學堂,,,
江南高等商業學校,,,
江南高等學校,,,
江寧縣立中學,,,
江寧縣立師范學校,,,
江寧縣立師范講習所,,,
江寧縣立第二高等小學,,,
江漢中學,,,
江漢大學,,,
江漢高中,,,
江蘇中學,,,
江蘇代用甲種商業學校,,,
江蘇兩級師范學堂,,,
江蘇公立南京專門學校,,,
江蘇公立工業專門學校,,,
江蘇公立法政專門學校,,,
江蘇六中,,,
江蘇南通女子師范學校,,,
江蘇商專學校,,,
江蘇商業中學,,,
江蘇太倉中學,,,
江蘇女子蠶業高級學校,,,
江蘇宜興彭城中學,,,
江蘇師范學堂,,,
江蘇師范學校,,,
江蘇憲兵學校,,,
江蘇文化學院,,,
江蘇景魯商業學校,,,
江蘇武備速成學堂,,,
江蘇江北法政專門學校,,,
江蘇法政專門學校,,,
江蘇省立上海中學,,,
江蘇省立中學,,,
江蘇省立二中,,,
江蘇省立二女師,,,
江蘇省立二師,,,
江蘇省立五師,,,
江蘇省立八中,,,
江蘇省立南京女子中學,,,
江蘇省立南通中學,,,
江蘇省立南青公學,,,
江蘇省立大學,,,
江蘇省立學院,,,
江蘇省立宜興農林科職業學校,,,
江蘇省立師范學校,,,
江蘇省立徐州中學,,,
江蘇省立揚州中學,,,
江蘇省立揚州高中,,,
江蘇省立教育學院,,,
江蘇省立江䁇中學,,,
江蘇省立法政學校,,,
江蘇省立洛社鄉村師范學校,,,
江蘇省立淮陰中學,,,
江蘇省立無錫師范學校,,,
江蘇省立無錫高級中學,,,
江蘇省立第一中學,,,
江蘇省立第一師范學校,,,
江蘇省立第一法政專門學校,,,
江蘇省立第七中學,,,
江蘇省立第七師范,,,
江蘇省立第七師范學校,,,
江蘇省立第三師范,,,
江蘇省立第九中學,,,
江蘇省立第九師范學校,,,
江蘇省立第二中學,,,
江蘇省立第二女子師范,,,
江蘇省立第八中學,,,
江蘇省立第八師范,,,
江蘇省立第六師范學校,,,
江蘇省立農業專門學校,,,
江蘇省立醫政學校,,,
江蘇省立醫政學院,,,
江蘇省立鎮江高中,,,
江蘇省立高等學堂,,,
江蘇省立高級助產學校,,,
江蘇省警官學校,,,
江蘇省警察學校,,,
江蘇第一代用女子中學,,,
江蘇第一代用師范學校,,,
江蘇縣中高中部,,,
江蘇蠶業專門學校,,,
江蘇警察傳習所,,,
江蘇銅山縣立中學,,,
江蘇陸軍小學,,,
江蘇陸軍教育團,,,
江蘇陸軍第三師軍官團,,,
江蘇陸軍講武堂,,,
江蘇陸軍軍官輔助教育團,,,
江蘇高等學校,,,
江蘇高等實業學校,,,
江蘇高等警察學校,,,
江西中學,,,
江西優級師范學堂,,,
江西公立法律專門學校,,,
江西公立法政專門甲班,,,
江西官立政法學堂,,,
江西師范學校,,,
江西法官養成所,,,
江西法政專科學校,,,
江西洪都中學,,,
江西省立公專學校,,,
江西省立南昌第二中學,,,
江西省立第一中學,,,
江西省立第一高等師范,,,
江西省立第三中學,,,
江西省立第二職業學校,,,
江西省立第八中學,,,
江西省立第四中學,,,
江西省立第四師范,,,
江西省立蘇州女師,,,
江西省立農業專門學校,,,
江西私立章江法政專門學校,,,
江西蠶桑專門學校,,,
江西計政人員訓練所會計甲班,,,
江西豫章法政專門學校,,,
江西農業專門學校,,,
江西陸軍測繪學校,,,
江西高等商業學校,,,
江西高等農業學校森林專科,,,
江西高等巡警學堂,,,
江陰勵寶中學,,,
江陰南蕢中心,,,
江霍畢金斯大學,,,
汲縣後期師范學校,,,
沅陵中學,,,
沈陽高級師范學校,,,
河北中學高中部,,,
河北北京道濟醫院高級護士學校,,,
河北唐山開灤中學,,,
河北唐山開灤高級護士學校,,,
河北固城鄉村師范,,,
河北工業專門學校,,,
河北武清縣立中學,,,
河北法政專門學校,,,
河北省冀縣師范,,,
河北省天津法商學院,,,
河北省立一中,,,
河北省立大名女子師范,,,
河北省立工業學院,,,
河北省立師范學校,,,
河北省立師范學院,,,
河北省立第一師范學校,,,
河北省立第七師范,,,
河北省立第三中學,,,
河北省立雁文中學,,,
河北省訓政學院,,,
河北第二師范,,,
河北第六女子師范,,,
河北通縣縣立師范學校,,,
河南中山大學,,,
河南國術館,,,
河南培文學院,,,
河南客籍學校,,,
河南省政府黨政特訓班,,,
河南省立中學,,,
河南省立百泉民眾師范學院,,,
河南省立第一高級中學,,,
河南省立第三師范,,,
河南省立第二中學,,,
河南省立第二高中,,,
河南省立第十一中學校,,,
河南省立第十六中學,,,
河南省立農專,,,
河南省立鄉縣師范,,,
河南省立高級師范學校,,,
河南省財政人員養成所,,,
河南私立群治法政學校,,,
河南育才館,,,
河南警官學校,,,
河南財政學校,,,
河南高中,,,
河南黨政訓練班,,,
河南黨際兵工分？醫院,,,
河東中學,,,
河海工科大學,,,
河海工程專門學校,,,
河間縣立中學,,,
治平中學,,,
泉州官立中學,,,
法制實物講習所,,,
法學院,,,
法官訓練所,,,
法屬東京河內巴淮學堂,,,
法律學校,,,
法律專科,,,
法律專門學校,,,
法政大學,,,
法政學校,,,
法政專校,,,
法政專門學校,,,
法文學部,,,
法科大學,,,
泰縣時敏中學,,,
津浦車務訓練班,,,
津浦鐵路學堂,,,
浙江三中,,,
浙江中醫專校,,,
浙江兩級師范學校,,,
浙江公立商業專門學校,,,
浙江共和法政學校,,,
浙江十中,,,
浙江吳與三余學社,,,
浙江商學院,,,
浙江商業學校,,,
浙江大陸高級測量科職業學校,,,
浙江女師,,,
浙江官立法政學校,,,
浙江工專學校,,,
浙江干部學校,,,
浙江愛華,,,
浙江永嘉甄海中學,,,
浙江法專,,,
浙江法政講習所,,,
浙江海寧州中學堂,,,
浙江測量學院暨農業專門校,,,
浙江甲科工業學校,,,
浙江甲種商校,,,
浙江監獄學校,,,
浙江監獄專門學校,,,
浙江相湖鄉師,,,
浙江省地方自治專修學校,,,
浙江省杭州師范學校,,,
浙江省立中學,,,
浙江省立寧波中學,,,
浙江省立寧波第四中學高中部,,,
浙江省立工專,,,
浙江省立教育學院,,,
浙江省立杭州高級中學,,,
浙江省立甲科商業學校,,,
浙江省立甲科工業學校,,,
浙江省立甲種商業學校,,,
浙江省立第一中學,,,
浙江省立第三中學,,,
浙江省立第三師范學校,,,
浙江省立第二中學,,,
浙江省立第八中學,,,
浙江省立第十一中學,,,
浙江省立第十一師范,,,
浙江省立第十中學,,,
浙江省立第十師范附屬小學,,,
浙江省立第四中學,,,
浙江省立第四師範,,,
浙江省立衛生試驗科,,,
浙江省立農業實驗學校,,,
浙江省立農業推廣專門學校,,,
浙江省立高級中學,,,
浙江省第立五中學,,,
浙江省警官學校,,,
浙江省高等學堂,,,
浙江私立德政專門學校,,,
浙江私立法政專門學校,,,
浙江紹興第五中學,,,
浙江紹興護士學校,,,
浙江職業學校,,,
浙江舊制中學,,,
浙江英文專修學校,,,
浙江諸暨這中學,,,
浙江財務人員養成所,,,
浙江財務學校,,,
浙江鄞縣敦實中學,,,
浙江醫學專校,,,
浙江醫藥專校,,,
浙江陸地測量學校,,,
浙江陸軍弁目學堂,,,
浙江陸軍測繪學校,,,
浙江陸軍測量學校,,,
浙江陸軍測量專校,,,
浙江陸軍講武堂,,,
浙江陸軍軍學補習所,,,
浙江高等學堂,,,
浙江高等鐵路學校,,,
浙江鹺務小學,,,
浙贛路無線電訓練班,,,
海事縣立舊制中學,,,
海軍水電學校,,,
海軍第三艦隊軍官班,,,
海軍飛潛學校,,,
涪陵師范學校,,,
淮南法政專門學校,,,
淮安中學,,,
淮安府中學堂,,,
淮西女高中,,,
淮西高級中學,,,
淮陰中學,,,
清華中學,,,
清華學堂,,,
清華學校,,,
湖北一中,,,
湖北商業學校,,,
湖北大學,,,
湖北宗漢會計專校,,,
湖北工業專門學校,,,
湖北師范學校,,,
湖北文官養成所,,,
湖北方言學堂,,,
湖北日新中學,,,
湖北會計學校,,,
湖北江漢法政大學,,,
湖北江漢法政專門學校,,,
湖北法律專科,,,
湖北理化專科學校,,,
湖北省公立外國語專門學校,,,
湖北省干訓團會計班,,,
湖北省教育學院,,,
湖北省立一小鐘南中學,,,
湖北省立中學,,,
湖北省立九中學,,,
湖北省立六中學,,,
湖北省立外國語專門學校,,,
湖北省立女子師范學校,,,
湖北省立存古,,,
湖北省立武昌中學,,,
湖北省立武昌高中,,,
湖北省立法科大學,,,
湖北省立甲種工業學校,,,
湖北省立第一中學,,,
湖北省立第一商業職業學校,,,
湖北省立第一師范學校,,,
湖北省立第一高級中學,,,
湖北省立第七師范,,,
湖北省立第三中學,,,
湖北省立第九中學,,,
湖北省立第二中學,,,
湖北省立第二高級中學,,,
湖北省立第八中學,,,
湖北省立農學院,,,
湖北省立農業專科學校,,,
湖北省立高商學校,,,
湖北省立高等師范附屬中學,,,
湖北省立高級師范,,,
湖北私立養正書社,,,
湖北第三區啟黃中學,,,
湖北職中高級商業職校,,,
湖北自強學堂,,,
湖北襄陽鹿門舊制中學,,,
湖北財務人員訓練所,,,
湖北軍官學校,,,
湖北鄂城縣立中學,,,
湖北陸軍測繪專門學校,,,
湖北陸軍特別學校,,,
湖北陸軍第三中學,,,
湖北陸軍講武堂,,,
湖北陸軍軍需學校,,,
湖北章楚高級中學,,,
湖北高級工業學校,,,
湖北黃華師范,,,
湖南乾城縣立高等小學,,,
湖南信義中學,,,
湖南修業中學,,,
湖南修業學校,,,
湖南優級師范,,,
湖南全省優級師范學堂,,,
湖南兩路師范學校,,,
湖南公立法律專科學校,,,
湖南公立第一法政專門學校,,,
湖南公裡速記專校,,,
湖南商業學校,,,
湖南地方自治訓練所,,,
湖南地方行政干部學校會計班,,,
湖南培英高等學堂中訓團黨政班,,,
湖南工業學校,,,
湖南工業專門學校,,,
湖南師範,,,
湖南常德中學,,,
湖南平江縣立師范學校,,,
湖南廣益高中,,,
湖南廣雅中學,,,
湖南建國法政專門學校,,,
湖南愛國法政學校,,,
湖南文史專科,,,
湖南文藝高級中學,,,
湖南旅滬職業學校,,,
湖南會計傳習所,,,
湖南會通法政專門,,,
湖南會通法校,,,
湖南武供學堂,,,
湖南民生計理學校,,,
湖南民生計理專校,,,
湖南法官養成所,,,
湖南法政紳校,,,
湖南省商業專業學校,,,
湖南省立中學,,,
湖南省立商專,,,
湖南省立常德中學,,,
湖南省立第一中學,,,
湖南省立第一女子師范,,,
湖南省立第一師范學校,,,
湖南省立第一師范附屬小學,,,
湖南省立第一高中,,,
湖南省立第二師范學校,,,
湖南省立第二聯合學校,,,
湖南省立統計專科學校,,,
湖南省立農校,,,
湖南省立長郡中學,,,
湖南省立高工,,,
湖南省立高級商專,,,
湖南省第一女子師范學校,,,
湖南私立克澤高中,,,
湖南私立愛國法政專門學校,,,
湖南私立遠材法政專門學校,,,
湖南第七中學軍校高教班,,,
湖南育＊高中,,,
湖南警官學校,,,
湖南運材法政專門學校,,,
湖南達材法政專門學校,,,
湖南長沙樂群會計專修學校,,,
湖南高等學堂,,,
湖南高等職業學堂,,,
湖南高級師范學堂,,,
湖南鴻文學院,,,
湖廣大學,,,
湖湘法政專門學校,,,
湖郡女中,,,
湘潭縣立中學,,,
湘省行政干部學校會計蕃計班,,,
湘鄉縣立中學,,,
湘陰中學,,,
溧陽同濟中學,,,
滬中央政校,,,
滬北英專,,,
滬江大學.,,,
漢口博學書院高中,,,
漢口商業專門學校,,,
漢口商科大學,,,
漢口宗漢會計學校,,,
漢口市十地清丈人員養成所,,,
漢口市地政人員訓練班,,,
漢口法文專門學校,,,
漢川縣中學,,,
漢陽高級工業職業學校,,,
潘陽高等師范,,,
潛化中學,,,
潤商中學,,,
潤州中學,,,
潤州學校,,,
潮州法政講習所中訓團當政訓練班,,,
濂溪中學,,,
濟南大學,,,
濟南客藉學校,,,
濩澤中學,,,
瀘縣中學,,,
灤縣師范學校,,,
無線電專門學校,,,
無錫中學,,,
無錫商工中學,,,
無錫國學專修學校,,,
無錫國學專科學校,,,
無錫實業學校,,,
無錫師范學校,,,
無陽國學專修學校,,,
煙台市立第二高中,,,
煙台海軍練營,,,
煙台益文商業專校,,,
煙台益文商業專科,,,
煙台益文學校高中,,,
煙台私立中學,,,
特務旅軍事連,,,
獄雲中學,,,
璧山系中學,,,
甘肅公立法政專門學校,,,
甘肅學院會計訓練班,,,
甘肅省立學院,,,
甘肅省立師范學校,,,
甘肅省立第九師范學校,,,
甘肅高等學校,,,
甲種工業學校,,,
番禹公立中學,,,
番禺八桂中學,,,
番陽高等師范,,,
當政軍人事管理人員訓練班,,,
皇仁書院,,,
皖北法政大學,,,
皖南高級中學,,,
皖旅鄂中學,,,
皖省會計人員實習所,,,
益智中學,,,
監利縣高等小學,,,
監務專門學校,,,
直棣法政學堂,,,
直棣法政專門學校,,,
直棣高等師范,,,
直隸法律專門學校,,,
直隸法政專門學校,,,
直隸省立二中,,,
直隸第一中學,,,
直隸第三中學,,,
省立一師學校,,,
省立上海中學,,,
省立第九中學,,,
省立第九師范學校,,,
省立第二女高,,,
省立第二職業專校,,,
省立第六高中,,,
省立聯合學校,,,
省立講習所,,,
省立銅仁師范高師,,,
睢寧縣立高級小學,,,
磋欠總經堂,,,
社會教育學院,,,
福州公學,,,
福州甲種商業學校,,,
福州私立開智小學,,,
福州職業學校,,,
福州英華書院,,,
福州高級中學,,,
福建上杭中學,,,
福建協和學院,,,
福建商業學校,,,
福建師范學堂,,,
福建建？師范學校,,,
福建晉江法政自治研究所,,,
福建桃淑女子中學,,,
福建法學院,,,
福建省立中學,,,
福建省立商業專門學校,,,
福建省立甲種商業學校,,,
福建省立福州中學,,,
福建省立福州第一中學,,,
福建省立第一中學校,,,
福建省立第一師范學校,,,
福建省立第二師范學校,,,
福建省立第八中學,,,
福建省立高等工業學校,,,
福建私立法政專門學校,,,
福建經學會高等班,,,
福建職業學校,,,
福建造船學堂,,,
福建閩南中學,,,
福建陸地測量學校,,,
福建陸軍武供學堂,,,
福建集美師范,,,
福建霞蒼工業專科學校,,,
福建馬尾海軍學校,,,
福建馬尾船政水師學校,,,
萬國函授,,,
萬縣縣立鄉村師范學校,,,
私塾,,,
私立上海中學,,,
秋尼史工科大學,,,
稅務專門學校,,,
程度大學,,,
種英中學,,,
立教大學,,,
童軍體育專科學校,,,
第一戰區干部訓練團,,,
第三中學,,,
第三戰區將校團,,,
第九中學,,,
第二中學,,,
第二中學高中,,,
第二屆高考會計人員,,,
第二集團軍總司令部軍需訓練班,,,
第五陸軍軍事政治校,,,
第十五區聯立中學,,,
粞干大學,,,
粵軍第二軍官團校官班,,,
粵軍軍官團軍官班,,,
糧食部督糧助理人員訓練班,,,
紅會總會護校,,,
紹興稽山高級中學,,,
統計人員訓練班,,,
綏遠中山學院,,,
綏遠蒙藏學校,,,
經國政學校,,,
經濟講習會通訊講習,,,
緬甸美以美會,,,
縣立鐘吾小學,,,
群治法政專門學校,,,
考試院普通考試,,,
而加省大學,,,
聖彼得堡商大,,,
聖心書院,,,
聖若瑟書院,,,
聖茲堡大學,,,
聖路加中學,,,
育傑中學,,,
育才商業專門學校,,,
育杰高中,,,
育英學校,,,
興賢大學,,,
航海育材公學,,,
船政學堂,,,
英文商業學校,,,
英皇書院,,,
茂名中學,,,
茂坡？秀小學,,,
荊南中學,,,
莫斯科福朗斯陸軍大學,,,
華中公學,,,
華北協和大學,,,
華北大學,,,
華北學院師范科,,,
華北學院教育專科,,,
華北工學院,,,
華北藥學會藥學專校,,,
華南中學,,,
華強中學,,,
華東法政大學,,,
華西協和大學,,,
華西工商科學校,,,
萍鄉縣立中學,,,
葉縣初級師范,,,
蒙藏委員會蒙藏訓練班,,,
蒲坂中學,,,
蓮池書院,,,
蕉嶺中學,,,
蕙蘭中學,,,
蕙蘭高中,,,
蕪湖女子高中學校,,,
蕪湖聖雅各中學,,,
薩克遜大學,,,
藏文大學,,,
藏文學堂,,,
藝術專門學校,,,
藩陽私立成城中學,,,
藩陽高等師范學校,,,
藹都和大學,,,
蘄春師範學堂,,,
蘇州中學,,,
蘇州工業專門學校,,,
蘇州省立第二工校,,,
蘇州美術專科學校,,,
蘇州美術專門學校,,,
蘇皖聯立政治學院,,,
蘇省鐵路學堂建筑班,,,
蘇省鐵路專門學堂,,,
蘭州中山大學,,,
蘭州電報學校,,,
蘭陵商業會計學校,,,
行建中學,,,
行政人員訓練班,,,
衡湘高中,,,
衡陽岳屏書院,,,
衡陽船山中學,,,
裡昂宗職專科,,,
襄城縣專心中學,,,
西北中山大學,,,
西北商科大學,,,
西北農林專校,,,
西安中山大學,,,
西安溥臣會計補習學校,,,
西安省立中學,,,
西康西昌小學,,,
西藏藏文傳習所,,,
西路師范學堂,,,
記錄公立法政專門學校,,,
諸暨縣立中學,,,
諸暨縣立舊制中學,,,
諾維治騎兵學校,,,
警官高等學校,,,
警校教育班,,,
譯學館,,,
豫章法政專門學校,,,
財務人員養成所,,,
財政學會會計學校,,,
財政廳附設財政講習所,,,
財政部全國財務人員訓練所,,,
財政部會計傳習所,,,
財政部查干班,,,
財政部田賦人員訓練所,,,
財政部監務專門學校,,,
財政部稅務署稅務人員養成所,,,
貴州優級師范學堂,,,
貴州官立法政講習所,,,
貴州師范法政學校,,,
貴州法政學校,,,
貴州省立大學,,,
貴州省立高中,,,
貴陽中學高中,,,
貴陽師范學院,,,
資中縣立職業學校,,,
贛省官立法政學堂,,,
赤城公學,,,
軍事委員會交通研究院,,,
軍事委員會干訓,,,
軍令部佔地參謀訓練班,,,
軍令部情報參謀訓練班,,,
軍令部講電訓練班,,,
軍委會干訓一團,,,
軍委會戰干一團,,,
軍委會政訓研究班,,,
軍官學校,,,
軍官講習班,,,
軍政部榮譽軍人職員訓練所會計班,,,
軍政部獸醫學校,,,
軍政部譯述講習所,,,
軍政部軍需學校,,,
軍校,,,
軍校政訓研究班,,,
軍校軍官教育隊,,,
軍校軍訓班,,,
軍校高教班,,,
軍械班,,,
軍需實施學校,,,
輔德中學,,,
農商部地質研究所,,,
農政專門學校,,,
農林專校,,,
農業大學,,,
農業專門學校,,,
通才商業專門學校,,,
通海甲種學校,,,
通縣潞河中學,,,
速記傳習所,,,
速記學堂,,,
達德中學,,,
達才中學校,,,
遵義舊制中學,,,
遼寧女子中學,,,
遼寧法政專門學校,,,
遼寧省全省警官傅習所,,,
遼寧省立第三高級中學,,,
遼寧省立第二工科專門學校,,,
遼寧省聯巔縣初級師范,,,
邊疆學校師范專修科,,,
邊疆教育干部人員訓練班,,,
邑庠生兩淮師范,,,
邵陽縣立舊制中學,,,
郁文學院,,,
郎西森林水利大學,,,
郵傳部交通傳習所,,,
郵傳部交通講習所,,,
郵電專門學校,,,
鄆城清華中學,,,
鄖陽中學,,,
鄞縣縣立醫院醫學講學班,,,
鄰水公灘鄉小學,,,
酆都師范,,,
重慶中學,,,
重慶公立法政專門學校,,,
重慶商船專科學校,,,
重慶大公職業學校,,,
重慶廣誼高級會計學校,,,
重慶會計專科學校,,,
重慶求精商業專科學校,,,
重慶私立正中會計學校,,,
重慶私立治平中學,,,
重慶聯立高中,,,
重慶西南美專校,,,
重慶軍官講武堂,,,
重症校地政學院,,,
金華中學高中部,,,
金華作新中學,,,
金華成美女中,,,
金華福音護校,,,
金陵中學,,,
金陵基督中學,,,
金陵女子文理學院,,,
金陵法政專門學校法律特別科,,,
銅梁中學,,,
銅梁縣立高級中學,,,
銓敘部人事人員訓練班,,,
銘賢中學,,,
銘賢大學,,,
錦堂學校,,,
錦陽縣立中學,,,
鍾英中學,,,
鎮江中學,,,
鐘英中學會計師補習學校,,,
長壽縣立中學,,,
長春商埠中學,,,
長業公學高中中訓團黨政班,,,
長沙協均中學,,,
長沙大麓高中,,,
長沙福湘女中,,,
長沙第一師范,,,
長沙縣立師范,,,
長沙育英師范,,,
長沙藝芳女子中學,,,
長沙豫章小學,,,
長沙郡高中,,,
長郡中學,,,
門與大學,,,
開士工業專門學校,,,
開封培文學院,,,
開封師范學校,,,
開封濟汴高中部,,,
開封豫中中學,,,
開封高中,,,
開物中學,,,
防空學校,,,
陝西三原第三師范,,,
陝西公立法政專門學校,,,
陝西大學,,,
陝西宏道大學堂,,,
陝西師范學校,,,
陝西戰時行政人員訓練班,,,
陝西景龍中學,,,
陝西武備學堂,,,
陝西民立中學,,,
陝西汾陽銘義商校,,,
陝西省公立法政專門學校,,,
陝西省立商業專科學校,,,
陝西省立法學院,,,
陝西省立第一中學,,,
陝西省立第一師范學校,,,
陝西省立第三中學,,,
陝西省立第三師范,,,
陝西省立第二中學,,,
陝西省立第二師范,,,
陝西省立蒲城中學高中,,,
陝西省立運城高中,,,
陝西軍官學校,,,
陝西陸地測量學校,,,
陸大特別班,,,
陸軍學校,,,
陸軍測量學堂,,,
陸軍測量學校,,,
陸軍炮兵射擊學校,,,
陸軍速成學校,,,
陸軍騎兵專科,,,
隨縣縣立小學,,,
雅理大學,,,
雨江法政學校,,,
雲南師范,,,
雲南昭通中學,,,
雲南省當部新軍會干訓班,,,
雲南省立一師高級部,,,
雲南省立昆華師范高級部,,,
雲南省立第一中學,,,
雲南省立第一工業學校,,,
雲南省立高等師范,,,
雲南省立麓江高中,,,
雲南省立麓江高師,,,
雲南第二師范,,,
雲南講武堂,,,
雲南高等學堂,,,
雲高革埠英皇乙活高商專校,,,
青島商學院,,,
青島市特別高等專門學校,,,
青島市立李村師范學校,,,
青島海軍學校,,,
青年會高中,,,
韶州講武學堂,,,
順天中學,,,
順天學校,,,
順天高中,,,
順天高等學堂,,,
順慶嘉陵高中,,,
顏山中學高中,,,
首都？兵學校軍官班,,,
首都女子法政講習所,,,
首都臨時普通考試及格,,,
高中,,,
高峰中學,,,
高等學校,,,
高等警官學堂,,,
高等巡警正科,,,
高級中學,,,
高級商科,,,
高級美術學校,,,
高級護士學校,,,
高要縣立中學,,,
鮑江華英學院,,,
鹽務學校,,,
麓江高中,,,
黃埔海軍學校,,,
黃川縣立中學,,,
黃縣志成中學,,,
黑龍江省法政專門學校,,,
黑龍江省立一中,,,
黑龍江省立法政專門學校,,,
墨國國立商業學校,,,
墨西哥高等商務學校,,,
黨政軍人事管理人員訓練班,,,
龍門師范,,,
